Loc,DateOfMonth,Weekday,Hour,NoOfBookings
4,21,0,10,23108
4,21,0,11,23150
4,21,0,12,23181
4,21,0,13,23208
4,21,0,14,23246
4,21,0,15,23279
4,21,0,16,23325
4,21,0,17,23378
4,21,0,18,23443
4,21,0,19,23501
4,21,0,20,23559
4,21,0,21,23601
4,21,0,22,23629
4,21,0,23,23652
4,22,1,0,23667
4,22,1,3,23670
4,22,1,4,23676
4,22,1,5,23684
4,22,1,6,23701
4,22,1,7,23734
4,22,1,8,23781
4,22,1,9,23825
4,22,1,10,23859
4,22,1,11,23893
4,22,1,12,23935
4,22,1,13,23966
4,22,1,14,24009
4,22,1,15,24066
4,22,1,16,24157
4,22,1,17,24266
4,22,1,18,24357
4,22,1,19,24429
4,22,1,20,24469
4,22,1,21,24527
4,22,1,22,24581
4,22,1,23,24611
4,23,2,0,24626
4,23,2,1,24636
4,23,2,2,24638
4,23,2,3,24640
4,23,2,4,24642
4,23,2,5,24650
4,23,2,6,24668
4,23,2,7,24716
4,23,2,8,24783
4,23,2,9,24825
4,23,2,10,24855
4,23,2,11,24892
4,23,2,12,24938
4,23,2,13,24983
4,23,2,14,25030
4,23,2,15,25083
4,23,2,16,25171
4,23,2,17,25281
4,23,2,18,25387
4,23,2,19,25474
4,23,2,20,25577
4,23,2,21,25678
4,23,2,22,25750
4,23,2,23,25801
4,24,3,0,25822
4,24,3,1,25827
4,24,3,2,25833
4,24,3,3,25836
4,24,3,4,25840
4,24,3,5,25851
4,24,3,6,25863
4,24,3,7,25903
4,24,3,8,25972
4,24,3,9,26032
4,24,3,10,26080
4,24,3,11,26118
4,24,3,12,26162
4,24,3,13,26209
4,24,3,14,26255
4,24,3,15,26329
4,24,3,16,26435
4,24,3,17,26543
4,24,3,18,26658
4,24,3,19,26754
4,24,3,20,26850
4,24,3,21,26949
4,24,3,22,27080
4,24,3,23,27178
4,25,4,0,27216
4,25,4,1,27235
4,25,4,2,27246
4,25,4,3,27253
4,25,4,4,27261
4,25,4,5,27271
4,25,4,6,27287
4,25,4,7,27330
4,25,4,8,27397
4,25,4,9,27438
4,25,4,10,27482
4,25,4,11,27520
4,25,4,12,27567
4,25,4,13,27622
4,25,4,14,27691
4,25,4,15,27777
4,25,4,16,27878
4,25,4,17,27988
4,25,4,18,28075
4,25,4,19,28184
4,25,4,20,28265
4,25,4,21,28346
4,25,4,22,28449
4,25,4,23,28550
4,26,5,0,28626
4,26,5,1,28658
4,26,5,2,28698
4,26,5,3,28730
4,26,5,4,28747
4,26,5,5,28757
4,26,5,6,28762
4,26,5,7,28777
4,26,5,8,28794
4,26,5,9,28814
4,26,5,10,28841
4,26,5,11,28883
4,26,5,12,28928
4,26,5,13,28973
4,26,5,14,29025
4,26,5,15,29090
4,26,5,16,29187
4,26,5,17,29283
4,26,5,18,29400
4,26,5,19,29520
4,26,5,20,29623
4,26,5,21,29727
4,26,5,22,29839
4,26,5,23,29947
4,27,6,0,30044
4,27,6,1,30110
4,27,6,2,30138
4,27,6,3,30158
4,27,6,4,30167
4,27,6,5,30172
4,27,6,6,30178
4,27,6,7,30190
4,27,6,8,30214
4,27,6,9,30238
4,27,6,10,30279
4,27,6,11,30326
4,27,6,12,30373
